Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2018-01-02,40.341888427734375,59.45050048828125,53.292930603027344,79.19831848144531,21.368667602539062
2018-01-03,40.334869384765625,60.209999084472656,54.20216751098633,79.56690216064453,21.149999618530273
2018-01-04,40.522220611572266,60.47949981689453,54.41270446777344,80.2672119140625,20.974666595458984
2018-01-05,40.98357009887695,61.457000732421875,55.13423538208008,81.26238250732422,21.10533332824707
2018-01-08,40.83135223388672,62.34349822998047,55.328887939453125,81.34529876708984,22.42733383178711
2018-01-09,40.82666778564453,62.6349983215332,55.25838088989258,81.29000091552734,22.246000289916992
2018-01-10,40.81728744506836,62.71649932861328,55.12678146362305,80.92144012451172,22.31999969482422
2018-01-11,41.049137115478516,63.83399963378906,55.22163009643555,81.16102600097656,22.530000686645508
2018-01-12,41.4730339050293,65.26000213623047,56.145263671875,82.56161499023438,22.4146671295166
2018-01-16,41.262264251708984,65.24299621582031,56.147743225097656,81.40982818603516,22.67066764831543
2018-01-17,41.943763732910156,64.75,56.56486511230469,83.05921173095703,23.143999099731445
2018-01-18,41.981224060058594,64.66600036621094,56.4094352722168,83.0223388671875,22.971332550048828
2018-01-19,41.79387283325195,64.72899627685547,56.783363342285156,82.93017578125,23.334667205810547
2018-01-22,41.45195007324219,66.3655014038086,57.80928421020508,84.41373443603516,23.437332153320312
2018-01-23,41.46133041381836,68.12699890136719,58.405670166015625,84.68092346191406,23.519332885742188
2018-01-24,40.80091857910156,67.87550354003906,58.16334533691406,84.60722351074219,23.05933380126953
2018-01-25,40.07257080078125,68.89749908447266,58.70212173461914,85.0771484375,22.50933265686035
2018-01-26,40.16624450683594,70.10250091552734,58.97126388549805,86.67125701904297,22.856666564941406
2018-01-29,39.334861755371094,70.88400268554688,58.917640686035156,86.54227447509766,23.302000045776367
2018-01-30,39.10300827026367,71.89099884033203,58.46525955200195,85.4549331665039,23.05466651916504
2018-01-31,39.21075439453125,72.54450225830078,58.70609664916992,87.54661560058594,23.62066650390625
2018-02-01,39.29271697998047,69.5,58.67481231689453,86.85556030273438,23.28333282470703
