Date,BTC-USD,^GSPC,^IXIC
2004-08-02,,1106.6199951171875,1892.0899658203125
2004-08-03,,1099.68994140625,1859.4200439453125
2004-08-04,,1098.6300048828125,1855.06005859375
2004-08-05,,1080.699951171875,1821.6300048828125
2004-08-06,,1063.969970703125,1776.8900146484375
2004-08-09,,1065.219970703125,1774.6400146484375
2004-08-10,,1079.0400390625,1808.699951171875
2004-08-11,,1075.7900390625,1782.4200439453125
2004-08-12,,1063.22998046875,1752.489990234375
2004-08-13,,1064.800048828125,1757.219970703125
2004-08-16,,1079.3399658203125,1782.8399658203125
2004-08-17,,1081.7099609375,1795.25
2004-08-18,,1095.1700439453125,1831.3699951171875
2004-08-19,,1091.22998046875,1819.8900146484375
2004-08-20,,1098.3499755859375,1838.02001953125
2004-08-23,,1095.6800537109375,1838.699951171875
2004-08-24,,1096.18994140625,1836.8900146484375
2004-08-25,,1104.9599609375,1860.719970703125
2004-08-26,,1105.0899658203125,1852.9200439453125
2004-08-27,,1107.77001953125,1862.0899658203125
2004-08-30,,1099.1500244140625,1836.489990234375
2004-08-31,,1104.239990234375,1838.0999755859375
2004-09-01,,1105.9100341796875,1850.4100341796875
2004-09-02,,1118.31005859375,1873.4300537109375
2004-09-03,,1113.6300048828125,1844.47998046875
2004-09-07,,1121.300048828125,1858.56005859375
2004-09-08,,1116.27001953125,1850.6400146484375
2004-09-09,,1118.3800048828125,1869.6500244140625
2004-09-10,,1123.9200439453125,1894.31005859375
2004-09-13,,1125.8199462890625,1910.3800048828125
2004-09-14,,1128.3299560546875,1915.4000244140625
2004-09-15,,1120.3699951171875,1896.52001953125
2004-09-16,,1123.5,1904.0799560546875
2004-09-17,,1128.550048828125,1910.0899658203125
2004-09-20,,1122.199951171875,1908.0699462890625
2004-09-21,,1129.300048828125,1921.1800537109375
2004-09-22,,1113.56005859375,1885.7099609375
2004-09-23,,1108.3599853515625,1886.4300537109375
2004-09-24,,1110.1099853515625,1879.47998046875
2004-09-27,,1103.52001953125,1859.8800048828125
2004-09-28,,1110.06005859375,1869.8699951171875
2004-09-29,,1114.800048828125,1893.93994140625
2004-09-30,,1114.5799560546875,1896.8399658203125
2004-10-01,,1131.5,1942.199951171875
2004-10-04,,1135.1700439453125,1952.4000244140625
2004-10-05,,1134.47998046875,1955.5
2004-10-06,,1142.050048828125,1971.030029296875
2004-10-07,,1130.6500244140625,1948.52001953125
2004-10-08,,1122.1400146484375,1919.969970703125
2004-10-11,,1124.3900146484375,1928.760009765625
