Date,AAPL,F,WMT
2018-01-02,40.341888427734375,8.263114929199219,28.973360061645508
2018-01-03,40.334861755371094,8.328388214111328,29.22609519958496
2018-01-04,40.522220611572266,8.471979141235352,29.252544403076172
2018-01-05,40.98357391357422,8.615570068359375,29.425931930541992
2018-01-08,40.83135223388672,8.582937240600586,29.860862731933594
2018-01-09,40.826663970947266,8.537247657775879,29.502338409423828
2018-01-10,40.817298889160156,8.504615783691406,29.290739059448242
2018-01-11,41.04914474487305,8.589463233947754,29.393600463867188
2018-01-12,41.4730339050293,8.635152816772461,29.643396377563477
2018-01-16,41.26226806640625,8.55030345916748,29.590492248535156
2018-01-17,41.94376754760742,7.949821949005127,30.181196212768555
2018-01-18,41.981231689453125,7.878025531768799,30.65139389038086
2018-01-19,41.79389190673828,7.832336902618408,30.73662567138672
2018-01-22,41.45195770263672,7.845391273498535,30.98935890197754
2018-01-23,41.46133041381836,7.806230545043945,31.121599197387695
2018-01-24,40.8009033203125,7.864974021911621,31.08928108215332
2018-01-25,40.072566986083984,7.551680088043213,31.327314376831055
2018-01-26,40.16625213623047,7.6038947105407715,31.853349685668945
2018-01-29,39.334861755371094,7.436702251434326,32.19425964355469
2018-01-30,39.10301971435547,7.396575450897217,31.659393310546875
2018-01-31,39.21073532104492,7.33638858795166,31.327314376831055
2018-02-01,39.29269790649414,7.3029465675354,31.009931564331055
2018-02-02,37.587799072265625,7.1625075340271,30.704286575317383
2018-02-05,36.64868927001953,6.848186492919922,29.414173126220703
2018-02-06,38.1802864074707,7.19594669342041,29.652204513549805
2018-02-07,37.362972259521484,7.19594669342041,30.225263595581055
2018-02-08,36.334861755371094,6.975253105163574,29.393600463867188
2018-02-09,36.779293060302734,7.042128086090088,29.202579498291016
2018-02-12,38.26071548461914,7.155819416046143,29.255477905273438
2018-02-13,38.644012451171875,7.082256317138672,29.67572021484375
2018-02-14,39.356502532958984,7.182570457458496,29.887313842773438
2018-02-15,40.67802429199219,7.19594669342041,30.336942672729492
2018-02-16,40.54633331298828,7.095630645751953,30.792465209960938
2018-02-20,40.40995407104492,7.109006881713867,27.656787872314453
2018-02-21,40.22653579711914,7.08894157409668,26.895647048950195
2018-02-22,40.562808990478516,7.109006881713867,27.26298713684082
2018-02-23,41.268245697021484,7.155819416046143,27.298254013061523
2018-02-26,42.08420944213867,7.282886028289795,27.365856170654297
2018-02-27,41.947818756103516,7.095630645751953,26.895647048950195
2018-02-28,41.88433074951172,7.095630645751953,26.451892852783203
2018-03-01,41.150665283203125,6.881625175476074,26.1785831451416
2018-03-02,41.43518829345703,6.955188751220703,26.087482452392578
2018-03-05,41.578636169433594,7.075567245483398,26.44307518005371
2018-03-06,41.543365478515625,7.109006881713867,26.172710418701172
2018-03-07,41.1577262878418,7.109006881713867,25.7847900390625
2018-03-08,41.60686111450195,7.095630645751953,25.99172592163086
2018-03-09,42.32170486450195,7.175882816314697,26.228233337402344
2018-03-12,42.73085021972656,7.229384899139404,26.03607749938965
2018-03-13,42.319339752197266,7.209320545196533,26.104066848754883
2018-03-14,41.95957946777344,7.369825839996338,25.91782569885254
2018-03-15,42.00895309448242,7.403263568878174,25.870525360107422
2018-03-16,41.860809326171875,7.456766605377197,26.361265182495117
2018-03-19,41.221214294433594,7.363138675689697,25.852783203125
2018-03-20,41.20710754394531,7.349762916564941,26.000598907470703
2018-03-21,40.27357482910156,7.423327922821045,26.06859588623047
2018-03-22,39.70451736450195,7.189257621765137,25.761140823364258
2018-03-23,38.785091400146484,7.062193393707275,25.252655029296875
2018-03-26,40.62628936767578,7.24276065826416,25.867570877075195
