RIC,DateTimeL,Type,Price,Volume,L1 Bid,L1 Ask,Trade Sign
 AGLJ.J,736333.382013, Trade,6750.0,366.0,0.0,0.0,0
 AGLJ.J,736333.382013, Quote,0.0,0.0,0.0,6800.0,0
 AGLJ.J,736333.382015, Trade,6750.0,374.0,0.0,0.0,0
 AGLJ.J,736333.382015, Quote,0.0,0.0,0.0,6800.0,0
 AGLJ.J,736333.382015, Quote,0.0,0.0,6735.0,6800.0,0
 AGLJ.J,736333.38218, Quote,0.0,0.0,6751.0,6800.0,0
 AGLJ.J,736333.382182, Quote,0.0,0.0,6751.0,6800.0,0
 AGLJ.J,736333.38219, Quote,0.0,0.0,6755.0,6800.0,0
 AGLJ.J,736333.382192, Quote,0.0,0.0,6757.0,6800.0,0
 AGLJ.J,736333.382433, Quote,0.0,0.0,6759.0,6800.0,0
 AGLJ.J,736333.382435, Quote,0.0,0.0,6759.0,6800.0,0
 AGLJ.J,736333.382619, Quote,0.0,0.0,6762.0,6800.0,0
 AGLJ.J,736333.382621, Quote,0.0,0.0,6762.0,6800.0,0
 AGLJ.J,736333.382662, Quote,0.0,0.0,6762.0,6800.0,0
 AGLJ.J,736333.382666, Quote,0.0,0.0,6762.0,6800.0,0
 AGLJ.J,736333.382762, Quote,0.0,0.0,6763.0,6800.0,0
 AGLJ.J,736333.382762, Quote,0.0,0.0,6764.0,6800.0,0
 AGLJ.J,736333.382804, Quote,0.0,0.0,6768.0,6800.0,0
 AGLJ.J,736333.383116, Quote,0.0,0.0,6770.0,6800.0,0
 AGLJ.J,736333.383399, Quote,0.0,0.0,6771.0,6800.0,0
 AGLJ.J,736333.383399, Quote,0.0,0.0,6772.0,6800.0,0
 AGLJ.J,736333.383405, Quote,0.0,0.0,6773.0,6800.0,0
 AGLJ.J,736333.384018, Trade,6800.0,38.0,0.0,0.0,1
 AGLJ.J,736333.384018, Quote,0.0,0.0,6773.0,6800.0,0
 AGLJ.J,736333.384025, Quote,0.0,0.0,6774.0,6800.0,0
 AGLJ.J,736333.384027, Quote,0.0,0.0,6777.0,6800.0,0
 AGLJ.J,736333.384057, Quote,0.0,0.0,6779.0,6800.0,0
 AGLJ.J,736333.384809, Quote,0.0,0.0,6780.0,6800.0,0
 AGLJ.J,736333.384809, Quote,0.0,0.0,6781.0,6800.0,0
 AGLJ.J,736333.385217, Trade,6800.0,87.0,0.0,0.0,1
 AGLJ.J,736333.385217, Quote,0.0,0.0,6800.0,6818.0,0
 AGLJ.J,736333.385217, Quote,0.0,0.0,6801.0,6852.0,0
 AGLJ.J,736333.385217, Quote,0.0,0.0,6801.0,6853.0,0
 AGLJ.J,736333.385219, Quote,0.0,0.0,6801.0,6849.0,0
 AGLJ.J,736333.385219, Quote,0.0,0.0,6801.0,6849.0,0
 AGLJ.J,736333.385295, Quote,0.0,0.0,6801.0,6848.0,0
 AGLJ.J,736333.385396, Quote,0.0,0.0,6801.0,6840.0,0
 AGLJ.J,736333.385446, Quote,0.0,0.0,6801.0,6841.0,0
 AGLJ.J,736333.385446, Quote,0.0,0.0,6801.0,6840.0,0
 AGLJ.J,736333.385541, Quote,0.0,0.0,6802.0,6840.0,0
 AGLJ.J,736333.385541, Quote,0.0,0.0,6803.0,6840.0,0
 AGLJ.J,736333.385543, Quote,0.0,0.0,6803.0,6840.0,0
 AGLJ.J,736333.385593, Quote,0.0,0.0,6803.0,6838.0,0
 AGLJ.J,736333.385674, Quote,0.0,0.0,6803.0,6837.0,0
 AGLJ.J,736333.385684, Quote,0.0,0.0,6803.0,6837.0,0
 AGLJ.J,736333.385712, Quote,0.0,0.0,6803.0,6838.0,0
 AGLJ.J,736333.385717, Quote,0.0,0.0,6803.0,6837.0,0
 AGLJ.J,736333.385731, Quote,0.0,0.0,6803.0,6837.0,0
 AGLJ.J,736333.385734, Quote,0.0,0.0,6803.0,6835.0,0
 AGLJ.J,736333.385778, Quote,0.0,0.0,6803.0,6834.0,0
 AGLJ.J,736333.386234, Quote,0.0,0.0,6805.0,6834.0,0
 AGLJ.J,736333.38634, Trade,6805.0,820.0,0.0,0.0,-1
 AGLJ.J,736333.38634, Trade,6805.0,203.0,0.0,0.0,-1
 AGLJ.J,736333.38634, Quote,0.0,0.0,6804.0,6830.0,0
 AGLJ.J,736333.386343, Quote,0.0,0.0,6805.0,6826.0,0
 AGLJ.J,736333.386357, Quote,0.0,0.0,6805.0,6826.0,0
 AGLJ.J,736333.386432, Trade,6804.603829,1358.0,0.0,0.0,-1
 AGLJ.J,736333.386432, Quote,0.0,0.0,6804.0,6826.0,0
 AGLJ.J,736333.386883, Quote,0.0,0.0,6806.0,6826.0,0
 AGLJ.J,736333.386883, Quote,0.0,0.0,6807.0,6826.0,0
 AGLJ.J,736333.386885, Trade,6806.97,1000.0,0.0,0.0,-1
 AGLJ.J,736333.386885, Quote,0.0,0.0,6806.0,6826.0,0
 AGLJ.J,736333.386886, Quote,0.0,0.0,6807.0,6826.0,0
 AGLJ.J,736333.387086, Quote,0.0,0.0,6807.0,6827.0,0
 AGLJ.J,736333.387421, Quote,0.0,0.0,6807.0,6827.0,0
 AGLJ.J,736333.388212, Trade,6827.0,500.0,0.0,0.0,1
 AGLJ.J,736333.388212, Quote,0.0,0.0,6807.0,6827.0,0
 AGLJ.J,736333.389002, Trade,6827.360205,3126.0,0.0,0.0,1
 AGLJ.J,736333.389002, Quote,0.0,0.0,6808.0,6832.0,0
 AGLJ.J,736333.389002, Quote,0.0,0.0,6809.0,6831.0,0
 AGLJ.J,736333.389002, Quote,0.0,0.0,6809.0,6830.0,0
 AGLJ.J,736333.389004, Quote,0.0,0.0,6808.0,6826.0,0
 AGLJ.J,736333.389009, Quote,0.0,0.0,6808.0,6825.0,0
 AGLJ.J,736333.389058, Quote,0.0,0.0,6808.0,6825.0,0
 AGLJ.J,736333.389114, Quote,0.0,0.0,6810.0,6825.0,0
 AGLJ.J,736333.389507, Trade,6825.434018,1023.0,0.0,0.0,1
 AGLJ.J,736333.389507, Quote,0.0,0.0,6810.0,6826.0,0
 AGLJ.J,736333.389509, Quote,0.0,0.0,6810.0,6826.0,0
 AGLJ.J,736333.389512, Quote,0.0,0.0,6810.0,6826.0,0
 AGLJ.J,736333.389567, Quote,0.0,0.0,6810.0,6823.0,0
 AGLJ.J,736333.389762, Quote,0.0,0.0,6811.0,6823.0,0
 AGLJ.J,736333.389762, Quote,0.0,0.0,6812.0,6823.0,0
 AGLJ.J,736333.390006, Trade,6823.227761,1023.0,0.0,0.0,1
 AGLJ.J,736333.390006, Quote,0.0,0.0,6812.0,6824.0,0
 AGLJ.J,736333.390137, Quote,0.0,0.0,6812.0,6822.0,0
 AGLJ.J,736333.390198, Quote,0.0,0.0,6811.0,6822.0,0
 AGLJ.J,736333.3902, Quote,0.0,0.0,6811.0,6822.0,0
 AGLJ.J,736333.3902, Quote,0.0,0.0,6811.0,6822.0,0
 AGLJ.J,736333.390386, Quote,0.0,0.0,6811.0,6822.0,0
 AGLJ.J,736333.390386, Quote,0.0,0.0,6812.0,6821.0,0
 AGLJ.J,736333.390398, Quote,0.0,0.0,6811.0,6821.0,0
 AGLJ.J,736333.390399, Trade,6821.0,695.0,0.0,0.0,1
 AGLJ.J,736333.390399, Quote,0.0,0.0,6811.0,6821.0,0
 AGLJ.J,736333.390402, Trade,6811.0,300.0,0.0,0.0,-1
 AGLJ.J,736333.390402, Quote,0.0,0.0,6801.0,6820.0,0
 AGLJ.J,736333.390584, Quote,0.0,0.0,6800.0,6820.0,0
 AGLJ.J,736333.390696, Quote,0.0,0.0,6800.0,6818.0,0
 AGLJ.J,736333.39105, Quote,0.0,0.0,6801.0,6818.0,0
 AGLJ.J,736333.391098, Quote,0.0,0.0,6802.0,6818.0,0
 AGLJ.J,736333.391265, Quote,0.0,0.0,6801.0,6815.0,0
 AGLJ.J,736333.391268, Quote,0.0,0.0,6801.0,6815.0,0
 AGLJ.J,736333.391599, Trade,6801.0,1000.0,0.0,0.0,-1
 AGLJ.J,736333.391599, Quote,0.0,0.0,6800.0,6815.0,0
 AGLJ.J,736333.39173, Quote,0.0,0.0,6801.0,6815.0,0
 AGLJ.J,736333.39173, Quote,0.0,0.0,6802.0,6815.0,0
 AGLJ.J,736333.391784, Quote,0.0,0.0,6801.0,6815.0,0
 AGLJ.J,736333.391848, Quote,0.0,0.0,6801.0,6813.0,0
 AGLJ.J,736333.391953, Quote,0.0,0.0,6801.0,6813.0,0
 AGLJ.J,736333.392017, Quote,0.0,0.0,6802.0,6813.0,0
 AGLJ.J,736333.392111, Quote,0.0,0.0,6801.0,6813.0,0
 AGLJ.J,736333.392128, Quote,0.0,0.0,6801.0,6813.0,0
