Date,^IRX
2018-01-02,1.378000020980835
2018-01-03,1.3700000047683716
2018-01-04,1.3700000047683716
2018-01-05,1.3700000047683716
2018-01-08,1.3799999952316284
2018-01-09,1.4149999618530273
2018-01-10,1.3949999809265137
2018-01-11,1.402999997138977
2018-01-12,1.409999966621399
2018-01-16,1.3949999809265137
2018-01-17,1.4149999618530273
2018-01-18,1.4049999713897705
2018-01-19,1.402999997138977
2018-01-22,1.3899999856948853
2018-01-23,1.4129999876022339
2018-01-24,1.409999966621399
2018-01-25,1.3930000066757202
2018-01-26,1.3880000114440918
2018-01-29,1.375
2018-01-30,1.4249999523162842
2018-01-31,1.4299999475479126
2018-02-01,1.4529999494552612
2018-02-02,1.4500000476837158
2018-02-05,1.4579999446868896
2018-02-06,1.4880000352859497
2018-02-07,1.5149999856948853
2018-02-08,1.5149999856948853
2018-02-09,1.524999976158142
2018-02-12,1.534999966621399
2018-02-13,1.5700000524520874
2018-02-14,1.5499999523162842
2018-02-15,1.559999942779541
2018-02-16,1.5700000524520874
2018-02-20,1.5729999542236328
2018-02-21,1.6080000400543213
2018-02-22,1.6050000190734863
2018-02-23,1.6050000190734863
2018-02-26,1.6080000400543213
2018-02-27,1.6349999904632568
2018-02-28,1.6180000305175781
2018-03-01,1.590000033378601
2018-03-02,1.6050000190734863
2018-03-05,1.625
2018-03-06,1.6430000066757202
2018-03-07,1.649999976158142
2018-03-08,1.6349999904632568
2018-03-09,1.6349999904632568
2018-03-12,1.6430000066757202
2018-03-13,1.690000057220459
2018-03-14,1.718000054359436
2018-03-15,1.7330000400543213
2018-03-16,1.7380000352859497
2018-03-19,1.7280000448226929
2018-03-20,1.7580000162124634
2018-03-21,1.7100000381469727
2018-03-22,1.6829999685287476
2018-03-23,1.687999963760376
2018-03-26,1.7050000429153442
2018-03-27,1.7330000400543213
2018-03-28,1.6950000524520874
2018-03-29,1.6699999570846558
2018-04-02,1.6829999685287476
2018-04-03,1.7130000591278076
2018-04-04,1.6679999828338623
2018-04-05,1.6749999523162842
2018-04-06,1.6799999475479126
2018-04-09,1.6749999523162842
2018-04-10,1.6950000524520874
2018-04-11,1.6929999589920044
2018-04-12,1.7050000429153442
2018-04-13,1.718000054359436
2018-04-16,1.7130000591278076
2018-04-17,1.7549999952316284
2018-04-18,1.7699999809265137
2018-04-19,1.7829999923706055
2018-04-20,1.7649999856948853
2018-04-23,1.7829999923706055
2018-04-24,1.8229999542236328
2018-04-25,1.815000057220459
2018-04-26,1.784999966621399
2018-04-27,1.7699999809265137
2018-04-30,1.7630000114440918
2018-05-01,1.809999942779541
2018-05-02,1.784999966621399
2018-05-03,1.7879999876022339
2018-05-04,1.7929999828338623
2018-05-07,1.7929999828338623
2018-05-08,1.8350000381469727
2018-05-09,1.8450000286102295
2018-05-10,1.8450000286102295
2018-05-11,1.8600000143051147
2018-05-14,1.8550000190734863
2018-05-15,1.875
2018-05-16,1.8650000095367432
2018-05-17,1.8630000352859497
2018-05-18,1.8550000190734863
2018-05-21,1.8630000352859497
2018-05-22,1.8930000066757202
2018-05-23,1.8730000257492065
2018-05-24,1.8600000143051147
2018-05-25,1.8530000448226929
2018-05-29,1.840000033378601
2018-05-30,1.878000020980835
2018-05-31,1.8700000047683716
2018-06-01,1.8680000305175781
2018-06-04,1.8650000095367432
2018-06-05,1.902999997138977
2018-06-06,1.899999976158142
2018-06-07,1.8849999904632568
2018-06-08,1.8799999952316284
2018-06-11,1.8680000305175781
2018-06-12,1.8880000114440918
2018-06-13,1.8949999809265137
2018-06-14,1.8830000162124634
2018-06-15,1.8880000114440918
2018-06-18,1.8830000162124634
2018-06-19,1.8980000019073486
2018-06-20,1.8880000114440918
2018-06-21,1.8899999856948853
2018-06-22,1.8700000047683716
2018-06-25,1.8530000448226929
2018-06-26,1.8930000066757202
2018-06-27,1.8799999952316284
2018-06-28,1.8799999952316284
2018-06-29,1.8799999952316284
2018-07-02,1.8949999809265137
2018-07-03,1.9329999685287476
2018-07-05,1.909999966621399
2018-07-06,1.9049999713897705
2018-07-09,1.9149999618530273
2018-07-10,1.934999942779541
2018-07-11,1.9199999570846558
2018-07-12,1.9279999732971191
2018-07-13,1.9279999732971191
2018-07-16,1.937999963760376
2018-07-17,1.975000023841858
2018-07-18,1.9600000381469727
2018-07-19,1.9479999542236328
2018-07-20,1.9329999685287476
2018-07-23,1.9199999570846558
2018-07-24,1.9600000381469727
2018-07-25,1.9529999494552612
2018-07-26,1.9450000524520874
2018-07-27,1.9450000524520874
2018-07-30,1.9450000524520874
2018-07-31,1.9850000143051147
2018-08-01,1.9780000448226929
2018-08-02,1.965000033378601
2018-08-03,1.9600000381469727
2018-08-06,1.968000054359436
2018-08-07,2.007999897003174
2018-08-08,2.007999897003174
2018-08-09,2.005000114440918
2018-08-10,2.0
2018-08-13,1.9950000047683716
2018-08-14,2.0329999923706055
2018-08-15,2.0199999809265137
2018-08-16,2.015000104904175
2018-08-17,1.9950000047683716
2018-08-20,1.9930000305175781
2018-08-21,2.0350000858306885
2018-08-22,2.0350000858306885
2018-08-23,2.0329999923706055
2018-08-24,2.0480000972747803
2018-08-27,2.059999942779541
2018-08-28,2.078000068664551
2018-08-29,2.0799999237060547
2018-08-30,2.058000087738037
2018-08-31,2.055000066757202
2018-09-04,2.068000078201294
2018-09-05,2.0899999141693115
2018-09-06,2.0799999237060547
2018-09-07,2.0880000591278076
2018-09-10,2.0829999446868896
2018-09-11,2.1080000400543213
2018-09-12,2.1050000190734863
2018-09-13,2.0929999351501465
2018-09-14,2.1029999256134033
2018-09-17,2.1080000400543213
2018-09-18,2.125
2018-09-19,2.119999885559082
2018-09-20,2.118000030517578
2018-09-21,2.122999906539917
2018-09-24,2.122999906539917
2018-09-25,2.1679999828338623
2018-09-26,2.1600000858306885
2018-09-27,2.140000104904175
2018-09-28,2.1500000953674316
2018-10-01,2.1549999713897705
2018-10-02,2.174999952316284
2018-10-03,2.1700000762939453
2018-10-04,2.1700000762939453
2018-10-05,2.1649999618530273
2018-10-08,2.1649999618530273
2018-10-09,2.184999942779541
2018-10-10,2.2200000286102295
2018-10-11,2.2149999141693115
2018-10-12,2.2179999351501465
2018-10-15,2.2300000190734863
2018-10-16,2.259999990463257
2018-10-17,2.259999990463257
2018-10-18,2.255000114440918
2018-10-19,2.259999990463257
2018-10-22,2.257999897003174
2018-10-23,2.2899999618530273
2018-10-24,2.2850000858306885
2018-10-25,2.2799999713897705
2018-10-26,2.2730000019073486
2018-10-29,2.259999990463257
2018-10-30,2.2829999923706055
2018-10-31,2.2780001163482666
2018-11-01,2.2699999809265137
2018-11-02,2.2730000019073486
2018-11-05,2.2679998874664307
2018-11-06,2.309999942779541
2018-11-07,2.309999942779541
2018-11-08,2.302999973297119
2018-11-09,2.299999952316284
2018-11-12,2.299999952316284
2018-11-13,2.2950000762939453
2018-11-14,2.325000047683716
2018-11-15,2.309999942779541
2018-11-16,2.299999952316284
2018-11-19,2.299999952316284
2018-11-20,2.3350000381469727
2018-11-21,2.3499999046325684
2018-11-23,2.3480000495910645
2018-11-26,2.3429999351501465
2018-11-27,2.3529999256134033
2018-11-28,2.3350000381469727
2018-11-29,2.309999942779541
2018-11-30,2.308000087738037
2018-12-03,2.2880001068115234
2018-12-04,2.365000009536743
2018-12-06,2.3529999256134033
2018-12-07,2.3399999141693115
2018-12-10,2.3299999237060547
2018-12-11,2.369999885559082
2018-12-12,2.375
2018-12-13,2.36299991607666
2018-12-14,2.368000030517578
2018-12-17,2.3399999141693115
2018-12-18,2.328000068664551
2018-12-19,2.3380000591278076
2018-12-20,2.3350000381469727
2018-12-21,2.3299999237060547
2018-12-24,2.3329999446868896
2018-12-26,2.380000114440918
2018-12-27,2.3480000495910645
2018-12-28,2.328000068664551
2018-12-31,2.299999952316284
2019-01-02,2.365000009536743
2019-01-03,2.3550000190734863
2019-01-04,2.3580000400543213
2019-01-07,2.3529999256134033
2019-01-08,2.4000000953674316
2019-01-09,2.390000104904175
2019-01-10,2.375
2019-01-11,2.369999885559082
2019-01-14,2.359999895095825
2019-01-15,2.382999897003174
2019-01-16,2.36299991607666
2019-01-17,2.3550000190734863
2019-01-18,2.3480000495910645
